config,test_acc,test_auroc,ms_per_sample,speedup,avg_exit,num_params_M,peak_memory_MB,GFLOPs
Baseline_stack3_z115,0.6136363636363636,0.6145833333333334,5.096244509331882,1.0,,85.8,395.4,33.73
DTT_EE_attn,0.5681818181818182,0.64375,0.6759020034223795,7.539916265268378,2.6136363636363638,85.8,437.5,23.22
Student_distill_z115,0.6363636363636364,0.6354166666666667,0.6495161214843392,7.8462171157282965,1.4090909090909092,86.99,404.6,21.13
DTT_only_l2,0.5454545454545454,0.46041666666666664,0.5445993738248944,9.357786208124585,,85.8,396.1,20.75
DTT_only_attn,0.5227272727272727,0.4666666666666667,0.6202898803167045,8.21590786992989,,85.8,432.6,23.22
DTT_only_random,0.5,0.6833333333333333,0.6025078473612666,8.458386943259429,,85.8,395.4,20.75
DTT_only_learnable,0.4772727272727273,0.54375,0.5942461139056832,8.57598289677792,,86.98,400.6,21.13
Thin_baseline,0.5454545454545454,0.46875,0.7497752667404711,6.797029370529913,,85.8,396.1,33.73
Thin_l2,0.5909090909090909,0.6604166666666667,0.6071021198295057,8.394377721433546,1.3636363636363635,85.8,400.6,20.75
Thin_attn,0.5227272727272727,0.6145833333333334,0.6754782516509295,7.544646325586654,1.8409090909090908,85.8,439.0,23.22
Thin_random,0.5,0.525,0.6471473607234657,7.874936712458559,2.409090909090909,85.8,400.1,20.75
Thin_learnable,,,,,,,,
Baseline_legacy,0.5454545454545454,0.4375,0.8924235007725656,5.710567353862929,,85.41,391.9,33.57
Only_EE,0.5909090909090909,0.64375,0.805829738965258,6.324219947349943,1.5227272727272727,85.8,400.7,33.73
Student_legacy,,,,,,,,
